Census Tract,"CalEnviroScreen
4.0 Score","CalEnviroScreen
4.0 Percentile","CalEnviroScreen 4.0 
Percentile Range","Pollution Burden
Percentile","Population Characteristics
Percentile",Total Population,California County,Approximate Zip Code,Approximate Location,DAC category
6019001100,93.18,100.00,95-100% (highest scores),99.93,99.72,2780,Fresno ,93706,Fresno,CalEnviroScreen 4.0 Top 25%
6077000700,86.65,99.99,95-100% (highest scores),99.29,99.74,4680,San Joaquin,95206,Stockton,CalEnviroScreen 4.0 Top 25%
6037204920,82.39,99.97,95-100% (highest scores),99.86,95.79,2751,Los Angeles,90023,Los Angeles,CalEnviroScreen 4.0 Top 25%
6019000700,81.33,99.96,95-100% (highest scores),97.40,99.89,3664,Fresno ,93706,Fresno,CalEnviroScreen 4.0 Top 25%
6019000200,80.75,99.95,95-100% (highest scores),96.94,99.95,2689,Fresno ,93706,Fresno,CalEnviroScreen 4.0 Top 25%
6037542402,80.71,99.94,95-100% (highest scores),99.78,95.46,3306,Los Angeles,90221,Compton,CalEnviroScreen 4.0 Top 25%
6019001000,80.55,99.92,95-100% (highest scores),96.70,99.99,4255,Fresno ,93706,Fresno,CalEnviroScreen 4.0 Top 25%
6037543202,79.29,99.91,95-100% (highest scores),99.25,96.90,5124,Los Angeles,90220,Compton,CalEnviroScreen 4.0 Top 25%
6019001202,79.17,99.90,95-100% (highest scores),98.88,98.05,4561,Fresno ,93725,Unincorporated Fresno County area,CalEnviroScreen 4.0 Top 25%
6077000100,77.87,99.89,95-100% (highest scores),95.22,99.97,3688,San Joaquin,95202,Stockton,CalEnviroScreen 4.0 Top 25%
6037203300,77.35,99.87,95-100% (highest scores),99.45,94.49,2000,Los Angeles,90033,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037291220,77.25,99.86,95-100% (highest scores),100.00,86.01,3640,Los Angeles,90247,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037433501,76.91,99.85,95-100% (highest scores),99.15,95.54,1949,Los Angeles,91733,South El Monte,CalEnviroScreen 4.0 Top 25%
6037243100,76.85,99.84,95-100% (highest scores),94.95,99.91,6772,Los Angeles,90059,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037227010,76.65,99.82,95-100% (highest scores),98.52,97.37,5705,Los Angeles,90011,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037226001,76.52,99.81,95-100% (highest scores),99.68,92.36,2615,Los Angeles,90021,Los Angeles,CalEnviroScreen 4.0 Top 25%
6019000300,76.40,99.80,95-100% (highest scores),97.66,98.51,4225,Fresno ,93706,Fresno,CalEnviroScreen 4.0 Top 25%
6037433101,76.26,99.79,95-100% (highest scores),99.50,93.15,2464,Los Angeles,91731,El Monte,CalEnviroScreen 4.0 Top 25%
6037239202,76.24,99.77,95-100% (highest scores),97.09,98.94,5999,Los Angeles,90001,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037206050,75.99,99.76,95-100% (highest scores),99.74,91.14,2031,Los Angeles,90023,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037205120,75.72,99.75,95-100% (highest scores),99.49,92.71,3548,Los Angeles,90023,Los Angeles,CalEnviroScreen 4.0 Top 25%
6077000300,75.61,99.74,95-100% (highest scores),98.61,96.47,2048,San Joaquin,95203,Stockton,CalEnviroScreen 4.0 Top 25%
6037226002,75.55,99.72,95-100% (highest scores),99.76,90.41,1820,Los Angeles,90021,Los Angeles,CalEnviroScreen 4.0 Top 25%
6019000902,75.46,99.71,95-100% (highest scores),93.64,99.92,5191,Fresno ,93706,Fresno,CalEnviroScreen 4.0 Top 25%
6099003700,75.31,99.70,95-100% (highest scores),99.23,93.87,4669,Stanislaus ,95380,Unincorporated Stanislaus County area,CalEnviroScreen 4.0 Top 25%
6019000400,75.30,99.68,95-100% (highest scores),98.98,94.97,5498,Fresno ,93721,Fresno,CalEnviroScreen 4.0 Top 25%
6037536104,75.11,99.67,95-100% (highest scores),99.94,86.61,3900,Los Angeles,90280,South Gate,CalEnviroScreen 4.0 Top 25%
6037104703,74.98,99.66,95-100% (highest scores),98.76,95.69,2174,Los Angeles,91331,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037240500,74.91,99.65,95-100% (highest scores),94.59,99.77,7326,Los Angeles,90003,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037535400,74.90,99.63,95-100% (highest scores),96.18,99.23,3553,Los Angeles,90002,Florence-Graham,CalEnviroScreen 4.0 Top 25%
6071001600,74.67,99.62,95-100% (highest scores),99.81,88.39,5363,San Bernardino,91761,Ontario,CalEnviroScreen 4.0 Top 25%
6037291210,74.44,99.61,95-100% (highest scores),99.90,86.81,5768,Los Angeles,90247,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037570403,74.37,99.60,95-100% (highest scores),97.22,97.89,4832,Los Angeles,90805,Long Beach,CalEnviroScreen 4.0 Top 25%
6037532302,74.06,99.58,95-100% (highest scores),99.84,87.25,4881,Los Angeles,90023,Commerce,CalEnviroScreen 4.0 Top 25%
6037542200,73.92,99.57,95-100% (highest scores),97.83,96.52,7155,Los Angeles,90221,Compton,CalEnviroScreen 4.0 Top 25%
6037534202,73.82,99.56,95-100% (highest scores),96.99,97.87,5748,Los Angeles,90201,Bell Gardens,CalEnviroScreen 4.0 Top 25%
6037531302,73.71,99.55,95-100% (highest scores),99.30,91.65,6215,Los Angeles,90023,East Los Angeles,CalEnviroScreen 4.0 Top 25%
6029002500,73.36,99.53,95-100% (highest scores),96.53,98.31,9052,Kern ,93307,Bakersfield,CalEnviroScreen 4.0 Top 25%
6037242600,73.34,99.52,95-100% (highest scores),92.51,99.85,4756,Los Angeles,90059,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037242700,73.33,99.51,95-100% (highest scores),94.55,99.42,6035,Los Angeles,90059,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037206032,73.31,99.50,95-100% (highest scores),99.46,89.81,5687,Los Angeles,90033,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037542401,73.16,99.48,95-100% (highest scores),96.08,98.68,4735,Los Angeles,90221,Compton,CalEnviroScreen 4.0 Top 25%
6037203500,73.09,99.47,95-100% (highest scores),99.34,90.53,2907,Los Angeles,90033,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037239201,72.93,99.46,95-100% (highest scores),95.96,98.60,3753,Los Angeles,90003,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037219902,72.78,99.45,95-100% (highest scores),98.78,93.49,3809,Los Angeles,90016,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037534201,72.69,99.43,95-100% (highest scores),99.89,84.35,4768,Los Angeles,90201,Bell Gardens,CalEnviroScreen 4.0 Top 25%
6019001201,72.68,99.42,95-100% (highest scores),98.66,93.92,5935,Fresno ,93725,Calwa,CalEnviroScreen 4.0 Top 25%
6077000801,72.68,99.41,95-100% (highest scores),99.00,92.32,7624,San Joaquin,95203,Stockton,CalEnviroScreen 4.0 Top 25%
6037540700,72.57,99.39,95-100% (highest scores),95.38,98.79,3230,Los Angeles,90059,Willowbrook,CalEnviroScreen 4.0 Top 25%
6037540901,72.25,99.38,95-100% (highest scores),96.02,98.15,4904,Los Angeles,90061,West Rancho Dominguez,CalEnviroScreen 4.0 Top 25%
6037533806,72.00,99.37,95-100% (highest scores),99.07,90.94,3794,Los Angeles,90201,Bell,CalEnviroScreen 4.0 Top 25%
6029002200,71.91,99.36,95-100% (highest scores),90.23,99.96,5633,Kern ,93307,Bakersfield,CalEnviroScreen 4.0 Top 25%
6037534102,71.90,99.34,95-100% (highest scores),98.05,94.58,6219,Los Angeles,90201,Bell Gardens,CalEnviroScreen 4.0 Top 25%
6065030502,71.87,99.33,95-100% (highest scores),97.00,96.38,1963,Riverside ,92507,Riverside,CalEnviroScreen 4.0 Top 25%
6037127400,71.85,99.32,95-100% (highest scores),97.69,95.17,6558,Los Angeles,91406,Los Angeles,CalEnviroScreen 4.0 Top 25%
6039000800,71.55,99.31,95-100% (highest scores),95.49,98.21,6793,Madera ,93637,Madera,CalEnviroScreen 4.0 Top 25%
6037570301,71.42,99.29,95-100% (highest scores),96.37,97.11,7273,Los Angeles,90805,Long Beach,CalEnviroScreen 4.0 Top 25%
6037534301,71.40,99.28,95-100% (highest scores),98.39,93.23,4320,Los Angeles,90201,Cudahy,CalEnviroScreen 4.0 Top 25%
6037294701,71.29,99.27,95-100% (highest scores),97.98,93.99,3099,Los Angeles,90744,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037239330,71.24,99.26,95-100% (highest scores),95.86,97.60,2458,Los Angeles,90001,Los Angeles,CalEnviroScreen 4.0 Top 25%
6019001301,71.21,99.24,95-100% (highest scores),90.19,99.86,5342,Fresno ,93702,Fresno,CalEnviroScreen 4.0 Top 25%
6037570402,71.21,99.23,95-100% (highest scores),98.37,93.03,3400,Los Angeles,90805,Long Beach,CalEnviroScreen 4.0 Top 25%
6037239702,70.76,99.22,95-100% (highest scores),91.44,99.61,4334,Los Angeles,90003,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037540400,70.56,99.21,95-100% (highest scores),96.79,95.71,2109,Los Angeles,90059,Willowbrook,CalEnviroScreen 4.0 Top 25%
6037296210,70.53,99.19,95-100% (highest scores),94.79,98.20,3132,Los Angeles,90731,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037534302,70.45,99.18,95-100% (highest scores),97.16,94.92,3720,Los Angeles,90201,Cudahy,CalEnviroScreen 4.0 Top 25%
6077003803,70.42,99.17,95-100% (highest scores),98.94,89.49,6299,San Joaquin,95231,French Camp,CalEnviroScreen 4.0 Top 25%
6037120020,70.33,99.16,95-100% (highest scores),92.82,99.21,3872,Los Angeles,91402,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037434004,70.22,99.14,95-100% (highest scores),99.04,88.94,3039,Los Angeles,91733,South El Monte,CalEnviroScreen 4.0 Top 25%
6019000901,70.21,99.13,95-100% (highest scores),93.39,98.89,2759,Fresno ,93706,Fresno,CalEnviroScreen 4.0 Top 25%
6019007100,70.20,99.12,95-100% (highest scores),97.49,94.09,7637,Fresno ,93662,Selma,CalEnviroScreen 4.0 Top 25%
6037205110,70.13,99.10,95-100% (highest scores),97.26,94.45,3904,Los Angeles,90023,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037122410,70.04,99.09,95-100% (highest scores),92.98,98.98,3457,Los Angeles,91605,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037532304,70.00,99.08,95-100% (highest scores),99.83,82.12,4013,Los Angeles,90040,Commerce,CalEnviroScreen 4.0 Top 25%
6065042505,69.96,99.07,95-100% (highest scores),94.60,97.92,3542,Riverside ,92553,Moreno Valley,CalEnviroScreen 4.0 Top 25%
6037208000,69.81,99.05,95-100% (highest scores),99.64,83.85,7508,Los Angeles,90026,Los Angeles,CalEnviroScreen 4.0 Top 25%
6019001500,69.73,99.04,95-100% (highest scores),99.96,79.20,2407,Fresno ,93725,Unincorporated Fresno County area,CalEnviroScreen 4.0 Top 25%
6037575401,69.66,99.03,95-100% (highest scores),92.47,99.03,4788,Los Angeles,90813,Long Beach,CalEnviroScreen 4.0 Top 25%
6037572301,69.65,99.02,95-100% (highest scores),98.54,90.57,3841,Los Angeles,90810,Long Beach,CalEnviroScreen 4.0 Top 25%
6031001100,69.60,99.00,95-100% (highest scores),93.86,98.27,6631,Kings ,93230,Hanford,CalEnviroScreen 4.0 Top 25%
6037239310,69.57,98.99,95-100% (highest scores),90.88,99.46,4501,Los Angeles,90003,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037228900,69.56,98.98,95-100% (highest scores),92.48,98.99,2918,Los Angeles,90058,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037219901,69.52,98.97,95-100% (highest scores),96.28,95.74,4150,Los Angeles,90016,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037570502,69.39,98.95,95-100% (highest scores),98.34,90.85,6588,Los Angeles,90805,Long Beach,CalEnviroScreen 4.0 Top 25%
6037570203,69.38,98.94,95-100% (highest scores),97.17,93.77,4165,Los Angeles,90805,Long Beach,CalEnviroScreen 4.0 Top 25%
6037533002,69.29,98.93,95-100% (highest scores),94.84,97.24,2705,Los Angeles,90001,Florence-Graham,CalEnviroScreen 4.0 Top 25%
6037228100,69.26,98.92,95-100% (highest scores),96.33,95.44,5505,Los Angeles,90011,Los Angeles,CalEnviroScreen 4.0 Top 25%
6099002100,69.16,98.90,95-100% (highest scores),92.38,98.88,3112,Stanislaus ,95354,Modesto,CalEnviroScreen 4.0 Top 25%
6037532603,69.06,98.89,95-100% (highest scores),94.06,97.71,3289,Los Angeles,90255,Huntington Park,CalEnviroScreen 4.0 Top 25%
6037117408,68.96,98.88,95-100% (highest scores),92.16,98.87,3073,Los Angeles,91343,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037204700,68.92,98.87,95-100% (highest scores),98.68,89.22,5510,Los Angeles,90023,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037302401,68.86,98.85,95-100% (highest scores),98.28,90.33,7395,Los Angeles,91204,Glendale,CalEnviroScreen 4.0 Top 25%
6037602900,68.75,98.84,95-100% (highest scores),99.22,85.78,4443,Los Angeles,90249,Gardena,CalEnviroScreen 4.0 Top 25%
6029004402,68.74,98.83,95-100% (highest scores),95.71,95.78,4436,Kern ,93280,Wasco,CalEnviroScreen 4.0 Top 25%
6037433504,68.72,98.81,95-100% (highest scores),96.90,93.80,4802,Los Angeles,91733,El Monte,CalEnviroScreen 4.0 Top 25%
6067005301,68.71,98.80,95-100% (highest scores),98.11,90.76,1598,Sacramento ,95811,Sacramento,CalEnviroScreen 4.0 Top 25%
6037121222,68.65,98.79,95-100% (highest scores),98.06,90.73,5139,Los Angeles,91352,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037185320,68.57,98.78,95-100% (highest scores),98.48,89.41,2991,Los Angeles,90065,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037540000,68.47,98.76,95-100% (highest scores),97.32,92.55,7139,Los Angeles,90262,Lynwood,CalEnviroScreen 4.0 Top 25%
6065030400,68.45,98.75,95-100% (highest scores),97.97,90.68,6741,Riverside ,92507,Riverside,CalEnviroScreen 4.0 Top 25%
6037120010,68.43,98.74,95-100% (highest scores),94.62,96.71,2704,Los Angeles,91402,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037404703,68.41,98.73,95-100% (highest scores),99.70,81.22,3110,Los Angeles,91706,Baldwin Park,CalEnviroScreen 4.0 Top 25%
6037240200,68.33,98.71,95-100% (highest scores),90.67,99.18,5159,Los Angeles,90003,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037241120,68.26,98.70,95-100% (highest scores),89.37,99.47,5146,Los Angeles,90061,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037242100,68.24,98.69,95-100% (highest scores),92.96,98.10,2852,Los Angeles,90002,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037570202,68.20,98.68,95-100% (highest scores),99.28,84.39,6124,Los Angeles,90805,Long Beach,CalEnviroScreen 4.0 Top 25%
6037121900,68.18,98.66,95-100% (highest scores),96.57,94.07,3761,Los Angeles,91352,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037241002,68.15,98.65,95-100% (highest scores),95.11,96.03,4144,Los Angeles,90059,Los Angeles,CalEnviroScreen 4.0 Top 25%
6029002000,68.07,98.64,95-100% (highest scores),89.33,99.41,6941,Kern ,93304,Bakersfield,CalEnviroScreen 4.0 Top 25%
6019002400,68.07,98.63,95-100% (highest scores),92.41,98.30,4401,Fresno ,93703,Fresno,CalEnviroScreen 4.0 Top 25%
6037204600,68.07,98.61,95-100% (highest scores),99.13,85.30,4080,Los Angeles,90023,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037204820,68.04,98.60,95-100% (highest scores),98.97,86.40,2241,Los Angeles,90023,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037601502,67.99,98.59,95-100% (highest scores),96.81,93.10,4059,Los Angeles,90304,Lennox,CalEnviroScreen 4.0 Top 25%
6019002000,67.94,98.58,95-100% (highest scores),97.82,90.28,6284,Fresno ,93728,Fresno,CalEnviroScreen 4.0 Top 25%
6037531301,67.89,98.56,95-100% (highest scores),97.39,91.57,4824,Los Angeles,90023,East Los Angeles,CalEnviroScreen 4.0 Top 25%
6037122420,67.86,98.55,95-100% (highest scores),94.01,96.76,4503,Los Angeles,91605,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037242200,67.75,98.54,95-100% (highest scores),86.94,99.76,6402,Los Angeles,90002,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037239501,67.63,98.52,95-100% (highest scores),90.94,98.80,3729,Los Angeles,90001,Los Angeles,CalEnviroScreen 4.0 Top 25%
6019002502,67.59,98.51,95-100% (highest scores),88.28,99.50,4577,Fresno ,93702,Fresno,CalEnviroScreen 4.0 Top 25%
6037533001,67.56,98.50,95-100% (highest scores),90.17,99.02,4709,Los Angeles,90001,Florence-Graham,CalEnviroScreen 4.0 Top 25%
6065042209,67.33,98.49,95-100% (highest scores),95.57,94.72,5439,Riverside ,92507,Riverside,CalEnviroScreen 4.0 Top 25%
6019000800,67.30,98.47,95-100% (highest scores),88.48,99.38,1292,Fresno ,93706,Unincorporated Fresno County area,CalEnviroScreen 4.0 Top 25%
6037292000,67.09,98.46,95-100% (highest scores),99.55,80.79,6567,Los Angeles,90501,Unincorporated Los Angeles County area,CalEnviroScreen 4.0 Top 25%
6065030300,67.08,98.45,95-100% (highest scores),95.99,93.76,4071,Riverside ,92501,Riverside,CalEnviroScreen 4.0 Top 25%
6037575801,67.06,98.44,95-100% (highest scores),90.52,98.69,2254,Los Angeles,90813,Long Beach,CalEnviroScreen 4.0 Top 25%
6029002100,67.05,98.42,95-100% (highest scores),88.74,99.27,3190,Kern ,93307,Bakersfield,CalEnviroScreen 4.0 Top 25%
6037433801,67.02,98.41,95-100% (highest scores),98.84,85.48,5944,Los Angeles,91733,South El Monte,CalEnviroScreen 4.0 Top 25%
6037199000,66.95,98.40,95-100% (highest scores),99.80,78.48,5391,Los Angeles,90031,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037532900,66.87,98.39,95-100% (highest scores),87.73,99.36,7058,Los Angeles,90001,Florence-Graham,CalEnviroScreen 4.0 Top 25%
6037433102,66.78,98.37,95-100% (highest scores),98.13,88.21,5348,Los Angeles,91733,El Monte,CalEnviroScreen 4.0 Top 25%
6037534203,66.73,98.36,95-100% (highest scores),97.90,88.63,3206,Los Angeles,90201,Bell Gardens,CalEnviroScreen 4.0 Top 25%
6099003802,66.71,98.35,95-100% (highest scores),95.93,93.38,5339,Stanislaus ,95380,Turlock,CalEnviroScreen 4.0 Top 25%
6037302302,66.71,98.34,95-100% (highest scores),97.85,88.73,5337,Los Angeles,91204,Glendale,CalEnviroScreen 4.0 Top 25%
6071012500,66.69,98.32,95-100% (highest scores),95.41,94.24,4972,San Bernardino,92324,Colton,CalEnviroScreen 4.0 Top 25%
6071004900,66.66,98.31,95-100% (highest scores),87.09,99.43,7113,San Bernardino,92410,San Bernardino,CalEnviroScreen 4.0 Top 25%
6039000900,66.63,98.30,95-100% (highest scores),91.92,97.59,11006,Madera ,93638,Madera,CalEnviroScreen 4.0 Top 25%
6037432700,66.56,98.29,95-100% (highest scores),99.40,81.30,5779,Los Angeles,91731,El Monte,CalEnviroScreen 4.0 Top 25%
6037291110,66.54,98.27,95-100% (highest scores),95.46,93.95,4391,Los Angeles,90044,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037239701,66.53,98.26,95-100% (highest scores),84.11,99.81,5134,Los Angeles,90003,Los Angeles,CalEnviroScreen 4.0 Top 25%
6047001302,66.50,98.25,95-100% (highest scores),81.26,100.00,2873,Merced ,95340,Merced,CalEnviroScreen 4.0 Top 25%
6037536103,66.43,98.23,95-100% (highest scores),98.67,85.84,5353,Los Angeles,90280,South Gate,CalEnviroScreen 4.0 Top 25%
6037240010,66.43,98.22,95-100% (highest scores),87.93,99.22,3737,Los Angeles,90002,Los Angeles,CalEnviroScreen 4.0 Top 25%
6047001301,66.41,98.21,95-100% (highest scores),90.44,98.32,2662,Merced ,95340,Merced,CalEnviroScreen 4.0 Top 25%
6037402402,66.40,98.20,95-100% (highest scores),98.92,84.03,6635,Los Angeles,91766,Pomona,CalEnviroScreen 4.0 Top 25%
6037536000,66.38,98.18,95-100% (highest scores),98.90,84.00,3701,Los Angeles,90280,South Gate,CalEnviroScreen 4.0 Top 25%
6019006802,66.35,98.17,95-100% (highest scores),87.69,99.26,3339,Fresno ,93654,Unincorporated Fresno County area,CalEnviroScreen 4.0 Top 25%
6037206200,66.35,98.16,95-100% (highest scores),97.95,87.95,4001,Los Angeles,90012,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037532500,66.29,98.15,95-100% (highest scores),98.62,85.74,4195,Los Angeles,90255,Huntington Park,CalEnviroScreen 4.0 Top 25%
6037542502,66.21,98.13,95-100% (highest scores),90.80,98.02,5006,Los Angeles,90220,Compton,CalEnviroScreen 4.0 Top 25%
6065046700,66.15,98.12,95-100% (highest scores),94.77,94.57,4721,Riverside ,92518,March ARB,CalEnviroScreen 4.0 Top 25%
6037301601,66.08,98.11,95-100% (highest scores),99.60,79.30,6112,Los Angeles,91201,Glendale,CalEnviroScreen 4.0 Top 25%
6037541603,65.99,98.10,95-100% (highest scores),95.44,93.29,3059,Los Angeles,90222,Compton,CalEnviroScreen 4.0 Top 25%
6037203100,65.99,98.08,95-100% (highest scores),98.00,87.14,4498,Los Angeles,90033,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037602801,65.91,98.07,95-100% (highest scores),86.21,99.39,3718,Los Angeles,90044,West Athens,CalEnviroScreen 4.0 Top 25%
6037204810,65.82,98.06,95-100% (highest scores),96.29,91.74,5277,Los Angeles,90023,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037541604,65.81,98.05,95-100% (highest scores),93.70,95.32,5917,Los Angeles,90221,Compton,CalEnviroScreen 4.0 Top 25%
6073003601,65.81,98.03,95-100% (highest scores),92.28,96.58,3006,San Diego,92113,San Diego,CalEnviroScreen 4.0 Top 25%
6037543000,65.75,98.02,95-100% (highest scores),96.83,90.24,4531,Los Angeles,90220,Compton,CalEnviroScreen 4.0 Top 25%
6037228800,65.69,98.01,95-100% (highest scores),93.90,94.96,5353,Los Angeles,90058,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037542106,65.67,98.00,95-100% (highest scores),91.74,96.97,3523,Los Angeles,90221,East Rancho Dominguez,CalEnviroScreen 4.0 Top 25%
6037241202,65.66,97.98,95-100% (highest scores),89.70,98.29,5776,Los Angeles,90044,Los Angeles,CalEnviroScreen 4.0 Top 25%
6019002601,65.62,97.97,95-100% (highest scores),83.85,99.66,4971,Fresno ,93702,Fresno,CalEnviroScreen 4.0 Top 25%
6037575802,65.57,97.96,95-100% (highest scores),82.08,99.84,5664,Los Angeles,90813,Long Beach,CalEnviroScreen 4.0 Top 25%
6037532800,65.54,97.95,95-100% (highest scores),92.88,95.94,4590,Los Angeles,90001,Florence-Graham,CalEnviroScreen 4.0 Top 25%
6037127210,65.37,97.93,95-100% (highest scores),92.57,96.08,5838,Los Angeles,91405,Los Angeles,CalEnviroScreen 4.0 Top 25%
6071005701,65.32,97.92,95-100% (highest scores),85.69,99.34,1580,San Bernardino,92401,San Bernardino,CalEnviroScreen 4.0 Top 25%
6037541605,65.31,97.91,95-100% (highest scores),91.21,97.02,4805,Los Angeles,90221,Compton,CalEnviroScreen 4.0 Top 25%
6037123303,65.23,97.89,95-100% (highest scores),94.11,94.33,3087,Los Angeles,91605,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037229100,65.14,97.88,95-100% (highest scores),90.63,97.23,5146,Los Angeles,90011,Los Angeles,CalEnviroScreen 4.0 Top 25%
6095250701,65.12,97.87,95-100% (highest scores),91.76,96.42,3529,Solano ,94590,Vallejo,CalEnviroScreen 4.0 Top 25%
6037540203,65.11,97.86,95-100% (highest scores),90.65,97.21,5807,Los Angeles,90262,Lynwood,CalEnviroScreen 4.0 Top 25%
6001407300,65.03,97.84,95-100% (highest scores),93.54,94.86,2420,Alameda ,94601,Oakland,CalEnviroScreen 4.0 Top 25%
6037601401,64.97,97.83,95-100% (highest scores),95.59,91.91,5949,Los Angeles,90301,Inglewood,CalEnviroScreen 4.0 Top 25%
6037127220,64.96,97.82,95-100% (highest scores),87.29,98.78,5045,Los Angeles,91405,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037204910,64.92,97.81,95-100% (highest scores),97.56,86.90,3341,Los Angeles,90023,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037530500,64.90,97.79,95-100% (highest scores),95.05,92.62,3719,Los Angeles,90022,East Los Angeles,CalEnviroScreen 4.0 Top 25%
6019003400,64.87,97.78,95-100% (highest scores),89.01,98.07,5456,Fresno ,93703,Fresno,CalEnviroScreen 4.0 Top 25%
6037229420,64.86,97.77,95-100% (highest scores),92.05,96.02,4759,Los Angeles,90011,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037241001,64.86,97.76,95-100% (highest scores),88.06,98.47,4197,Los Angeles,90061,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037402801,64.82,97.74,95-100% (highest scores),95.32,92.15,4976,Los Angeles,91766,Pomona,CalEnviroScreen 4.0 Top 25%
6037294830,64.76,97.73,95-100% (highest scores),91.49,96.41,4134,Los Angeles,90744,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037575402,64.73,97.72,95-100% (highest scores),80.14,99.90,4129,Los Angeles,90813,Long Beach,CalEnviroScreen 4.0 Top 25%
6037208302,64.72,97.71,95-100% (highest scores),98.57,83.55,5269,Los Angeles,90026,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037542601,64.69,97.69,95-100% (highest scores),92.00,95.86,3295,Los Angeles,90222,Compton,CalEnviroScreen 4.0 Top 25%
6037553802,64.69,97.68,95-100% (highest scores),97.72,86.09,6881,Los Angeles,90723,Paramount,CalEnviroScreen 4.0 Top 25%
6037227020,64.65,97.67,95-100% (highest scores),86.19,99.00,3623,Los Angeles,90011,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037433200,64.58,97.66,95-100% (highest scores),99.37,78.97,6246,Los Angeles,91731,El Monte,CalEnviroScreen 4.0 Top 25%
6037237202,64.50,97.64,95-100% (highest scores),87.18,98.58,4556,Los Angeles,90047,Los Angeles,CalEnviroScreen 4.0 Top 25%
6037128303,64.47,97.63,95-100% (highest scores),87.08,98.64,4176,Los Angeles,91411,Los Angeles,CalEnviroScreen 4.0 Top 25%
6019000600,64.45,97.62,95-100% (highest scores),80.55,99.82,4750,Fresno ,93721,Fresno,CalEnviroScreen 4.0 Top 25%
6037601600,64.43,97.60,95-100% (highest scores),97.27,87.05,4439,Los Angeles,90304,Lennox,CalEnviroScreen 4.0 Top 25%
6037533703,64.41,97.59,95-100% (highest scores),97.24,87.09,5259,Los Angeles,90270,Maywood,CalEnviroScreen 4.0 Top 25%
6037530700,64.38,97.58,95-100% (highest scores),99.32,78.96,2157,Los Angeles,90063,East Los Angeles,CalEnviroScreen 4.0 Top 25%
6037432802,64.31,97.57,95-100% (highest scores),98.53,83.16,5077,Los Angeles,91731,El Monte,CalEnviroScreen 4.0 Top 25%
6037128302,64.22,97.55,95-100% (highest scores),94.52,92.57,5000,Los Angeles,91411,Los Angeles,CalEnviroScreen 4.0 Top 25%
6071000301,64.20,97.54,95-100% (highest scores),92.23,95.23,9434,San Bernardino,91763,Montclair,CalEnviroScreen 4.0 Top 25%
6037240600,64.15,97.53,95-100% (highest scores),81.31,99.67,6167,Los Angeles,90003,Los Angeles,CalEnviroScreen 4.0 Top 25%
